,team_name,date,points
0,Golden State Warriors,2018-10-16,108
1,Oklahoma City Thunder,2018-10-16,100
2,Philadelphia 76ers,2018-10-16,87
3,Boston Celtics,2018-10-16,105
4,Minnesota Timberwolves,2018-10-17,108
5,San Antonio Spurs,2018-10-17,112
6,Atlanta Hawks,2018-10-17,107
7,New York Knicks,2018-10-17,126
8,Phoenix Suns,2018-10-17,121
9,Dallas Mavericks,2018-10-17,100
10,New Orleans Pelicans,2018-10-17,131
11,Houston Rockets,2018-10-17,112
12,Miami Heat,2018-10-17,101
13,Orlando Magic,2018-10-17,104
14,Denver Nuggets,2018-10-17,107
15,LA Clippers,2018-10-17,98
16,Brooklyn Nets,2018-10-17,100
17,Detroit Pistons,2018-10-17,103
18,Indiana Pacers,2018-10-17,111
19,Memphis Grizzlies,2018-10-17,83
20,Sacramento Kings,2018-10-17,117
21,Utah Jazz,2018-10-17,123
22,Milwaukee Bucks,2018-10-17,113
23,Charlotte Hornets,2018-10-17,112
24,Toronto Raptors,2018-10-17,116
25,Cleveland Cavaliers,2018-10-17,104
26,Philadelphia 76ers,2018-10-18,127
27,Chicago Bulls,2018-10-18,108
28,Portland Trail Blazers,2018-10-18,128
29,Los Angeles Lakers,2018-10-18,119
30,Washington Wizards,2018-10-18,112
31,Miami Heat,2018-10-18,113
32,New York Knicks,2018-10-19,105
33,Brooklyn Nets,2018-10-19,107
34,Charlotte Hornets,2018-10-19,120
35,Orlando Magic,2018-10-19,88
36,LA Clippers,2018-10-19,108
37,Oklahoma City Thunder,2018-10-19,92
38,Utah Jazz,2018-10-19,123
39,Golden State Warriors,2018-10-19,124
40,Indiana Pacers,2018-10-19,101
41,Milwaukee Bucks,2018-10-19,118
42,Minnesota Timberwolves,2018-10-19,131
43,Cleveland Cavaliers,2018-10-19,123
44,Boston Celtics,2018-10-19,101
45,Toronto Raptors,2018-10-19,113
46,Atlanta Hawks,2018-10-19,117
47,Memphis Grizzlies,2018-10-19,131
48,Sacramento Kings,2018-10-19,129
49,New Orleans Pelicans,2018-10-19,149
50,Orlando Magic,2018-10-20,115
51,Philadelphia 76ers,2018-10-20,116
52,Houston Rockets,2018-10-20,124
53,Los Angeles Lakers,2018-10-20,115
54,Chicago Bulls,2018-10-20,116
55,Detroit Pistons,2018-10-20,118
56,Boston Celtics,2018-10-20,103
57,New York Knicks,2018-10-20,101
58,Miami Heat,2018-10-20,112
59,Charlotte Hornets,2018-10-20,113
60,San Antonio Spurs,2018-10-20,108
61,Portland Trail Blazers,2018-10-20,121
62,Brooklyn Nets,2018-10-20,112
63,Indiana Pacers,2018-10-20,132
64,Dallas Mavericks,2018-10-20,140
65,Minnesota Timberwolves,2018-10-20,136
66,Denver Nuggets,2018-10-20,119
67,Phoenix Suns,2018-10-20,91
68,Toronto Raptors,2018-10-20,117
69,Washington Wizards,2018-10-20,113
70,Atlanta Hawks,2018-10-21,133
71,Cleveland Cavaliers,2018-10-21,111
72,Houston Rockets,2018-10-21,112
73,LA Clippers,2018-10-21,115
74,Golden State Warriors,2018-10-21,98
75,Denver Nuggets,2018-10-21,100
76,Oklahoma City Thunder,2018-10-21,120
77,Sacramento Kings,2018-10-21,131
78,Phoenix Suns,2018-10-22,103
79,Golden State Warriors,2018-10-22,123
80,San Antonio Spurs,2018-10-22,143
81,Los Angeles Lakers,2018-10-22,142
82,Orlando Magic,2018-10-22,93
83,Boston Celtics,2018-10-22,90
84,Washington Wizards,2018-10-22,125
85,Portland Trail Blazers,2018-10-22,124
86,Memphis Grizzlies,2018-10-22,92
87,Utah Jazz,2018-10-22,84
88,New York Knicks,2018-10-22,113
89,Milwaukee Bucks,2018-10-22,124
90,Chicago Bulls,2018-10-22,109
91,Dallas Mavericks,2018-10-22,115
92,Minnesota Timberwolves,2018-10-22,101
93,Indiana Pacers,2018-10-22,91
94,Toronto Raptors,2018-10-22,127
95,Charlotte Hornets,2018-10-22,106
96,Philadelphia 76ers,2018-10-23,132
97,Detroit Pistons,2018-10-23,133
98,Sacramento Kings,2018-10-23,112
99,Denver Nuggets,2018-10-23,126
100,New Orleans Pelicans,2018-10-23,116
101,LA Clippers,2018-10-23,109
102,Golden State Warriors,2018-10-24,144
103,Washington Wizards,2018-10-24,122
104,San Antonio Spurs,2018-10-24,96
105,Indiana Pacers,2018-10-24,116
106,Charlotte Hornets,2018-10-24,110
107,Chicago Bulls,2018-10-24,112
108,Phoenix Suns,2018-10-24,113
109,Los Angeles Lakers,2018-10-24,131
110,Cleveland Cavaliers,2018-10-24,86
111,Brooklyn Nets,2018-10-24,102
112,Houston Rockets,2018-10-24,89
113,Utah Jazz,2018-10-24,100
114,New York Knicks,2018-10-24,87
115,Miami Heat,2018-10-24,110
116,Atlanta Hawks,2018-10-24,111
117,Dallas Mavericks,2018-10-24,104
118,Milwaukee Bucks,2018-10-24,123
119,Philadelphia 76ers,2018-10-24,108
120,Memphis Grizzlies,2018-10-24,92
121,Sacramento Kings,2018-10-24,97
122,Minnesota Timberwolves,2018-10-24,105
123,Toronto Raptors,2018-10-24,112
124,Los Angeles Lakers,2018-10-25,121
125,Denver Nuggets,2018-10-25,114
126,Portland Trail Blazers,2018-10-25,128
127,Orlando Magic,2018-10-25,114
128,Detroit Pistons,2018-10-25,110
129,Cleveland Cavaliers,2018-10-25,103
130,Oklahoma City Thunder,2018-10-25,95
131,Boston Celtics,2018-10-25,101
132,Golden State Warriors,2018-10-26,128
133,New York Knicks,2018-10-26,100
134,Houston Rockets,2018-10-26,113
135,LA Clippers,2018-10-26,133
136,Sacramento Kings,2018-10-26,116
137,Washington Wizards,2018-10-26,112
138,Minnesota Timberwolves,2018-10-26,95
139,Milwaukee Bucks,2018-10-26,125
140,Chicago Bulls,2018-10-26,106
141,Charlotte Hornets,2018-10-26,135
142,Dallas Mavericks,2018-10-26,107
143,Toronto Raptors,2018-10-26,116
144,Brooklyn Nets,2018-10-26,115
145,New Orleans Pelicans,2018-10-26,117
146,Charlotte Hornets,2018-10-27,103
147,Philadelphia 76ers,2018-10-27,105
148,San Antonio Spurs,2018-10-27,110
149,Los Angeles Lakers,2018-10-27,106
150,Cleveland Cavaliers,2018-10-27,107
151,Indiana Pacers,2018-10-27,119
152,Boston Celtics,2018-10-27,109
153,Detroit Pistons,2018-10-27,89
154,Miami Heat,2018-10-27,120
155,Portland Trail Blazers,2018-10-27,111
156,Atlanta Hawks,2018-10-27,85
157,Chicago Bulls,2018-10-27,97
158,Orlando Magic,2018-10-27,91
159,Milwaukee Bucks,2018-10-27,113
160,Memphis Grizzlies,2018-10-27,117
161,Phoenix Suns,2018-10-27,96
162,Utah Jazz,2018-10-27,132
163,New Orleans Pelicans,2018-10-27,111
164,Golden State Warriors,2018-10-28,120
165,Brooklyn Nets,2018-10-28,114
166,LA Clippers,2018-10-28,136
